FileName,Variables,Degree,SAT,CRT-INT Runtime,CRT-BV Runtime,Z3 Runtime,cvc5 Runtime
cat,1,2,UNSAT,T/O,0.0064682960510253,0.0021824836730957,0.0036005973815917
dog,1,2,SAT,0.2999422550201416,0.0016398429870605,0.0011932849884033,0.0013422966003417
elephant,1,2,SAT,0.0037059783935546,0.0026915073394775,0.0256416797637939,0.0050282478332519
engima,1,2,SAT,T/O,0.0039489269256591,0.0007557868957519,0.0006999969482421
house,1,2,UNSAT,T/O,0.0016357898712158,0.0010797977447509,0.0025467872619628
rabbit,1,2,SAT,0.0057008266448974,0.001894474029541,0.0014793872833251,0.0009913444519042
squirrel,1,2,UNSAT,T/O,0.0049140453338623,0.0008623600006103,0.0016086101531982
theater,1,2,UNSAT,T/O,0.0087127685546875,0.0022594928741455,0.0008509159088134
clown,1,3,UNSAT,T/O,0.0499696731567382,0.0008449554443359,T/O
heart,1,3,SAT,0.0024912357330322,0.0028994083404541,0.0011181831359863,0.0016517639160156
home,1,3,SAT,0.2074325084686279,0.0013110637664794,0.0011346340179443,0.0017318725585937
nostalgia,1,3,SAT,0.1922709941864013,0.0029158592224121,0.0010745525360107,0.0014979839324951
plate,1,3,UNSAT,T/O,0.0227437019348144,0.0081255435943603,T/O
rose,1,3,UNSAT,T/O,0.0026237964630126,0.0007903575897216,T/O
terminate,1,3,UNSAT,T/O,0.0009820461273193,0.0004246234893798,0.7419881820678711
faint,2,2,UNSAT,T/O,I/O (0.2718923091888428),0.0018174648284912,0.0493566989898681
machine,2,2,SAT,T/O,0.0228116512298584,0.0012593269348144,0.0026667118072509
small,2,2,SAT,0.444199800491333,0.0120847225189208,0.0023496150970458,0.0098695755004882
truck,2,2,SAT,0.7458693981170654,0.0043766498565673,0.0039460659027099,0.9760568141937256
unusual,2,2,UNSAT,T/O,I/O (0.224926471710205),0.001209020614624,0.0816652774810791
email,2,3,SAT,0.0020246505737304,0.0020029544830322,0.0009105205535888,0.0009005069732666
forget,2,3,SAT,T/O,I/O (0.10467529296875),T/O,T/O
inertia,2,3,SAT,T/O,I/O (0.1509692668914795),T/O,T/O
moon,2,3,UNSAT,T/O,0.0135555267333984,0.0005240440368652,0.0007326602935791
oblong,2,3,SAT,0.2899739742279053,0.0214717388153076,0.001246690750122,0.0049865245819091
touch,2,3,UNSAT,T/O,I/O (0.1959762573242187),T/O,0.0387396812438964
waste,2,3,UNSAT,0.1687638759613037,0.0217297077178955,0.0009312629699707,0.1504204273223877
beast,3,2,SAT,0.1194698810577392,0.0116097927093505,0.0007808208465576,0.0019977092742919
doctor,3,2,UNSAT,T/O,0.0420382022857666,0.0010855197906494,0.189150333404541
train,3,2,SAT,T/O,0.0634205341339111,0.0011689662933349,T/O
vampire,3,2,SAT,0.0145802497863769,0.01033616065979,0.000770092010498,0.0013823509216308
bar,3,3,SAT,T/O,I/O (0.549675464630127),T/O,T/O
motor,3,3,UNSAT,T/O,0.0015873908996582,0.0010972023010253,T/O
professor,3,3,SAT,0.7250773906707764,0.0809392929077148,0.0015249252319335,0.9826033115386964
robot,3,3,SAT,0.0183439254760742,0.0186483860015869,0.001129150390625,0.0031874179840087
tank,3,3,SAT,0.1098668575286865,0.0090019702911376,0.0007925033569335,0.828681468963623
titanium,3,3,SAT,T/O,I/O (0.4981763362884521),T/O,T/O
western,3,3,UNSAT,T/O,I/O (0.5686817169189453),T/O,T/O
